Deskripsi Kolom Dataset W11

| Kolom                 | Penjelasan / Arti                                                                                                                                                                                                              |
| --------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **id**                | Kode unik / identifier untuk tiap produk di dataset — ini bisa dipakai sebagai primary key.                                                                                                                                    |
| **brand**             | Merek produk, misalnya “Givenchy”, “CLINIQUE”, “SEPHORA COLLECTION”, dll. Menandakan brand kosmetik / parfum / produk kecantikan.                                                                                              |
| **category**          | Kategori produk — misalnya “Perfume”, “Cologne”, “Face Wash & Cleans” (pembersih wajah), “Makeup Removers”, “Exfoliators”, “Lip Balms & Treatment”, dsb. Kolom ini menunjukkan jenis produk/kategori besar dari item tersebut. |
| **rating**            | Rating rata-rata produk — kemungkinan ini dari ulasan pengguna. Misalnya 4.5, 5, 3.5, dan kadang 0 jika belum ada rating.                                                                                                      |
| **number_of_reviews** | Jumlah ulasan/review yang diterima produk tersebut. Menunjukkan seberapa banyak pengguna yang memberi feedback.                                                                                                                |
| **love**              | Jumlah “love” atau “like” atau semacam count preferensi positif dari pengguna — mungkin metrik “disukai” terpisah dari rating.                                                                                                 |
| **price**             | Harga produk — bisa dalam satuan tertentu (misalnya USD atau mata uang dataset aslinya), menunjukkan harga jual produk.                                                                                                        |
| **value_price**       | Nilai harga dalam satuan “value price” — kemungkinan ini duplikasi dari price, atau representasi harga dalam skema tertentu (misalnya dikonversi / distandarisasi). Dalam contoh kamu, value_price sama dengan price.          |
| **exclusive**         | Flag/indikator apakah produk ini “exclusive” atau eksklusif (mungkin: hanya dijual di toko tertentu, atau produk limited edition, atau private label). Nilainya 0/1. Dalam cuplikan: banyak 0 (tidak eksklusif).               |
